No Dosen,Nama Dosen,No Judul,Judul,Skalabilitas dan Analitik Data,Penerapan Kecerdasan Buatan,Penerapan Data Besar,Penerapan Information Retrieval,Penerapan Sistem Pakar,Penerapan Penambangan Data,Penerapan Penambangan Teks,Penerapan Intelijen Bisnis,Penerapan Smart Living,Penerapan Komputasi Awan,Penerapan IoT,Penerapan Keamanan Data,Penerapan Keamanan Cyber,Penerapan Virtualisasi Jaringan,Penerapan Teknologi Jaringan,Penerapan Teknologi Nirkabel,Penerapan IT Forensik pada Jaringan,Penerapan Enkripsi,Penerapan Pengenalan Pola,Penerapan Watermarking pada Citra,Penerapan Kompresi Citra,Penerapan Pengolahan Citra,Penerapan Transformasi Citra,Penerapan Filtering Citra,Penerapan Morfologi Citra Digital,Integrasi Sistem dan Arsitektur,Penerapan Manajemen Informasi,Penerapan Sistem Informasi Geografis,Penerapan Global Professional Practice,Penerapan Sistem Peramalan,Penerapan Sistem Pendukung Keputusan,Penerapan Bisnis Elektronik Sistem Informasi,Penerapan Customer Relationship Management,Penerapan Pembelajaran Elektronik pada Sistem Informasi,Computational Thinking,Pengembangan Game,Multimedia,Penerapan Augmented Reality
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,2.3091912706673366e-24,1.2191439875299305e-22,1.4886859031083988e-22,5.256893109979218e-23,7.910135377432252e-23,8.21258374879453e-23,7.675239265435216e-23,1.952436728106729e-23,4.4250440484903785e-24,1.6519879942479238e-24,8.612315991370027e-24,3.519352603664613e-23,9.016845712905947e-24,3.039468162784022e-23,6.1872680882418635e-24,3.570431413488305e-23,1.6874598042450614e-22,2.414937810325999e-23,4.1224262450851594e-23,2.527354717785989e-22,8.177203237048734e-22,1.4627714595806763e-22,5.452009106165512e-23,3.6705694354796536e-22,9.377573821402433e-23,1.5310768589229138e-24,2.056453697077322e-23,1.0075998683870596e-22,8.030138016308975e-24,2.9889425133670872e-22,1.5187968738317738e-19,7.394204383561346e-24,3.9202036339187275e-24,3.3591790933893065e-23,3.6236368204028334e-24,4.479723948268175e-24,1.063727383560938e-23,1.9792911275728692e-23
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,Perancangan User Interface Sistem Informasi Alumni Menggunakan Metode Webuse Dan User Centered Design,5.25107972375279e-60,1.182382709007649e-58,1.5023222358534463e-56,3.5588126477770974e-59,1.6859366787545354e-56,9.751430538961728e-58,1.2715292828158316e-58,1.1879862187630915e-59,1.0607392585469607e-59,5.156846584959095e-60,9.328960716088021e-59,3.193585277340915e-57,1.7618597668813083e-58,3.798910984738347e-58,2.28647662247483e-59,1.853343918956095e-56,3.9111974836685837e-59,6.966638319531113e-58,2.0258540941639416e-59,2.626705478785021e-57,4.293192166259636e-57,2.1463412929674645e-57,4.35559797807529e-57,3.966948990060211e-58,6.690912037479788e-59,3.491768647862924e-57,1.0592909134146378e-56,2.801228037497448e-57,1.2312727393324003e-59,2.7419720413017496e-57,1.4907092809634345e-54,4.0550441712850436e-52,9.058703933508008e-58,4.171467209989222e-52,6.453285241515424e-60,1.6775280178292647e-57,1.266767585448692e-58,2.6259496226603084e-58
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,PERANCANGAN DAN PEMBUATAN VIRTUAL LABORATORIUM GRAYSCALE MORPHOLOGY UNTUK MATA KULIAH PENGOLAHAN CITRA,1.531681922507405e-67,3.396609663288359e-64,1.6439833965594343e-67,2.684623888972457e-67,1.967487611467397e-66,3.2805093938725313e-66,2.7913005472601327e-67,1.7897172376375717e-67,1.4869468448908374e-65,6.011205073506487e-64,7.1262230741695595e-65,1.5909624131068404e-65,4.664492946457572e-66,5.0289413787637334e-61,7.377845759470164e-66,3.2690956848015386e-66,3.7161995080906735e-65,1.708426557260975e-65,7.25173862390708e-66,4.620371087382509e-62,1.548199137917947e-63,8.761697365088635e-60,1.2236231255958224e-60,7.577013884070909e-64,1.5645045298530722e-61,1.310735812356491e-65,3.0382734164669746e-65,4.191248587695492e-64,4.452745258711508e-65,3.70875287755474e-66,7.07029157106067e-67,1.8638575019270425e-65,1.0879791516994977e-66,5.806499628109369e-61,5.5659140331276435e-65,2.022251516587626e-63,5.008379818706979e-56,1.1742041076392287e-61
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,PENGEMBANGAN VIRTUAL LAB MATA KULIAH PENGOLAHAN CITRA PADA BAB GRAYSCALE MORPHOLOGY,2.2426408754397558e-60,7.256363190955023e-59,6.32893926406693e-59,4.035076394441963e-60,7.663791640520598e-60,6.732237753093261e-60,5.075153178037719e-60,2.7984624594433777e-60,2.1565866442046932e-58,1.819953716671234e-57,1.3208327092954127e-57,3.8777254713082593e-59,5.394113783739343e-60,1.6853098171224254e-57,1.4795002787918713e-59,6.042933696499447e-60,9.385503198180446e-58,1.4082721321608864e-58,1.5669008613884274e-58,7.19576145879736e-56,4.956206231856411e-57,2.7318001247890226e-53,8.829583827999547e-54,1.473223986117808e-56,2.935197177621111e-54,8.684734141050177e-60,4.369853948026114e-59,2.046563443220702e-58,4.726908446216041e-58,9.059116844695012e-60,3.8333557463327026e-61,2.5804834416940396e-60,1.2412860470638835e-59,1.1661670216306274e-54,4.6254384258286805e-59,6.371274427553719e-55,3.590862000975039e-50,3.3938105098019566e-56
2,"Agung Nugroho Pramudhita, S.T., M.T.",15,Implementasi Sistem Pendeteksi Tingkat Kematangan Buah Pepaya Menggunakan Metode RGB,1.1257213573999818e-45,2.6322985382187454e-43,2.963586125116403e-42,1.4148998180343782e-40,1.8655749518119613e-41,9.342866035145273e-40,2.77978600916616e-43,6.276554178844332e-44,3.573262254333744e-43,3.825745485329342e-46,1.1476327502019352e-43,2.835313400355385e-44,1.6142831045692273e-44,8.749185502041225e-45,1.9042790252461376e-44,4.4676968741781163e-44,2.809910092355169e-42,2.3575865516404355e-44,3.6390769977249583e-42,5.877240032426048e-43,2.4659855444322097e-43,3.4776570800927e-40,3.2604036938159624e-38,3.032863172839287e-41,7.921064288411727e-38,4.9488589567395395e-46,1.000574751983139e-42,3.826652779305841e-43,2.606764286507323e-45,2.0566799978209265e-41,1.0910749915393002e-41,3.4274621881377435e-42,1.0579745266114717e-43,6.259559318294433e-43,3.7837747915678854e-43,3.803056863741446e-45,1.1521616349073047e-43,7.870762901820406e-42
2,"Agung Nugroho Pramudhita, S.T., M.T.",16,Analisis Peramalan Peluang Bisnis Tanah Menggunakan Metode Double Exponential Smoothing,6.763297151508818e-66,3.102572523692188e-63,5.123852185413842e-64,5.143869111769007e-65,1.5106409346167838e-64,3.6437238858079983e-65,4.1304339688718666e-64,1.6611739491545124e-64,3.9956207544636306e-66,7.255544874945611e-66,5.797217974732414e-66,1.7690092906749695e-65,1.4764949513867428e-65,5.393576895900025e-65,3.021447702537239e-65,1.3943234461231255e-65,9.199891784844336e-64,1.027426110445021e-65,5.1381201930794915e-64,6.711111256270462e-64,1.908185696229401e-64,1.5978569235459232e-63,1.641646992816909e-65,4.295740528932917e-62,1.5941086707528453e-65,1.8058661106013392e-65,6.711695083290976e-65,2.2923307748403602e-64,7.461959093454568e-66,6.707722471264675e-54,2.202076832352752e-64,1.1743819391757326e-64,9.901297741486932e-66,9.541197891984379e-66,5.529132240760262e-67,1.8281609683156935e-67,2.8757913258200906e-67,3.855064758541025e-66
2,"Agung Nugroho Pramudhita, S.T., M.T.",17,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,2.2426408754397558e-60,1.47516354828339e-60,9.87432446742809e-55,2.5041488094661612e-58,5.600637038687061e-55,4.749494089182399e-59,2.805152760472681e-54,2.7984624594433777e-60,8.082666548735237e-61,1.9807920670319507e-61,4.291416421348001e-60,2.290272266613813e-60,5.394113783739343e-60,1.0561912540794446e-60,9.609698148205615e-61,7.988268761778861e-60,2.819146048397658e-58,1.2659307876102806e-59,1.421595316856954e-58,3.818131161075897e-61,1.902102503731272e-57,4.347628273259841e-56,1.783126125506962e-54,6.788945854876665e-56,1.0822663472264548e-50,7.58489423292975e-61,2.8202417837022444e-58,1.7883452906007821e-59,1.2312727393324003e-59,4.350400687267002e-59,2.8867803211604506e-59,4.875866627077922e-61,3.260393266924152e-57,2.746700808830406e-59,9.381266761109279e-59,1.918239050555108e-61,4.6150109286669946e-58,2.4908148224037375e-55
2,"Agung Nugroho Pramudhita, S.T., M.T.",18,PERAMALAN DAERAH RAWAN KRIMINALITAS YANG ADA DI WILAYAH BATU MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING BERBASIS GIS STUDI KASUS KECAMATAN BATU,9.517375356858684e-123,7.6509215539934265e-121,1.6944916854255335e-119,1.575760312149197e-120,5.357196066215403e-122,7.219405524023609e-122,5.75809405821391e-122,1.682780835364503e-122,1.4370152245074628e-117,1.0334968589625323e-120,1.5923502206244147e-122,1.6831017621936398e-122,6.316488524535065e-120,2.181006734395044e-121,6.56565914128447e-120,1.578898677711238e-116,2.971916661716167e-121,2.586420843223438e-121,1.4894885796186374e-120,5.0312979366464127e-123,1.9698818358778702e-120,1.7626082944580506e-122,3.9569136903587206e-118,4.870886809361995e-122,1.315200118448168e-121,3.85496163971649e-120,2.610597923033785e-118,9.305094562664617e-111,5.306946408218038e-122,8.896842765797086e-109,3.6151541296633557e-118,2.4243317136148617e-118,3.576838748064289e-120,9.257709934824122e-120,2.7250503278184107e-125,4.6436780464486054e-122,3.437504025348234e-120,3.108672696833944e-118
2,"Agung Nugroho Pramudhita, S.T., M.T.",19,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,9.236935566376878e-67,1.9414941352885947e-61,2.377354088844869e-62,7.348992259128134e-60,5.3061452215878165e-65,7.699625517558653e-67,7.56085880061428e-65,7.294516502721483e-65,3.7549654159848296e-61,2.2263540139603887e-58,6.535014946803561e-63,9.365630348609389e-64,1.3310102703048772e-63,1.045298044129143e-61,1.5008081097330453e-61,3.521326023805966e-62,1.2772949332919644e-64,2.262106722426502e-63,1.892343414514934e-65,2.414152319669649e-65,3.938863112513273e-63,6.407695647314585e-67,3.958620747552928e-65,5.963793946974958e-68,3.3913101244287134e-65,7.531109000108605e-61,5.5030127789066164e-59,7.924823286415672e-58,4.1142198765566846e-64,6.270676606417483e-61,2.3373722627773547e-60,1.943331970395575e-58,3.289121008988678e-58,1.034909527892332e-59,1.2139196956199643e-63,1.5429902131715309e-61,4.9131241633968667e-57,1.1811494626816512e-58
2,"Agung Nugroho Pramudhita, S.T., M.T.",20,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,3.586389588542654e-67,4.508411792981214e-65,4.4006567337380705e-64,1.727477525959536e-66,3.379622470732729e-65,5.596463312147021e-65,1.7404284066387166e-64,8.38296525815277e-66,1.7121767624289692e-64,9.988669311536718e-69,6.08669262347656e-67,2.4745507197893157e-65,1.2533577473484554e-65,1.4064832370639714e-66,2.0494296622947348e-67,1.337789073010365e-66,2.075132383671066e-66,1.4371987951304364e-65,1.7255468532267807e-65,8.667358618899368e-66,4.269013972497851e-65,1.5330700624000537e-64,1.81134469488554e-64,9.948866935980859e-64,3.566357405661429e-66,4.595763788094263e-67,2.291846201566278e-66,1.2084381060210608e-61,8.46214601991789e-67,9.969174323858832e-51,1.8865550831619358e-63,3.084413503954886e-67,1.1465356212319619e-66,4.536333798201183e-66,3.8351520716666144e-66,4.089981773334616e-68,5.7685599951871774e-67,2.1464015277864843e-65
