Judul,Nama Bidang,Nilai Prediksi
Pengembangan Personal Data Analitik Menggunakan PHP-ML dan Apache Spark pada IoT Cloud Apps,Penerapan Komputasi Awan,1.160212883804323e-20
 ANALISIS DAN PENERAPAN ALGORITHMA C45 DALAM DATA MINING UNTUK MENUNJANG STRATEGI PROMOSI PRODI INFORMATIKA UPGRIS,Penerapan Data Besar,4.112870582234288e-29
Model data warehouse dengan service oriented architecture untuk menunjang sistem informasi eksekutif,Integrasi Sistem dan Arsitektur,6.173081466616572e-31
Rancangan dan Pembuatan Data Warehouse untuk Kebutuhan Sistem Pendukung Keputusan Studi Kasus Departemen Marketing dan Komunikasi Universitas Dr …,Penerapan Sistem Pendukung Keputusan,3.188363059315621e-48
Analisis Simulasi Sistem Penunjang Keputusan Model Matematis Dengan Pendekatan Goodness-of Fit Berbasis Structural Equation Model,Skalabilitas dan Analitik Data,1.5246703463945012e-28
Visualisasi Peta Rss Fingerprint Dalam Fase Offline Pada Localization Di Lantai 3 Gedung Teknik Elektro UGM Menggunakan Wlan,Skalabilitas dan Analitik Data,2.647025226531072e-38
Pengembangan Infrastruktur Analisis Data Heart Rate berbasis Microservices menggunakan Kubernetes,Penerapan Komputasi Awan,2.757433874322261e-20
Perbandingan Kinerja Algoritma Nbc Svm C 45 Dan Nearest Neighbor Kasus Prediksi Status Resiko Pembiayaan Di Bank Syariah,Penerapan Penambangan Teks,4.407180514114152e-47
 Materi Perkuliahan Transformasi Digital,Penerapan Transformasi Citra,1.309542076965747e-13
Keamanan IoT Dengan Deep Learning dan Teknologi Big Data,Penerapan Teknologi Jaringan,1.6838215527355436e-20
 Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,Penerapan Kecerdasan Buatan,4.490919301263696e-23
Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,Penerapan Kecerdasan Buatan,4.273438910701856e-30
Pengembangan Aplikasi Mobile Learning Berbasis Android Mata Kuliah Kecerdasan Buatan Di Jurusan Teknik Informatika Universitas Negeri Surabaya,Multimedia,1.0932943865838148e-48
Penerapan Clustering Pada Laju Inflasi Kota Di Indonesia Dengan Algoritma K-Means,Penerapan Penambangan Data,3.879664694865266e-23
Penerapan Metode Rough Set Dalam Menentukan Pembelian Smartphone Android Oleh Konsumen,Penerapan Data Besar,1.9037911256757223e-28
Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,Penerapan Kecerdasan Buatan,1.135362791374126e-35
… Tugas Akhir Menggunakan Fuzzy Multiple Attribute Decision Making dengan Simple Additive Weighting Studi Kasus Jurusan Teknik Informatika UIN SGD Bandung,Multimedia,7.914810108787247e-56
PENERAPAN ALGORITMA FISHER-YATES SHUFFLE PADA GAME MENCOCOKKAN GAMBAR MONUMEN DUNIA,Penerapan Kecerdasan Buatan,2.0201500789860746e-21
 Penerapan Finite State Machine pada Battle Game Berbasis Augmented Reality,Penerapan Kecerdasan Buatan,1.5811428340167023e-46
 Perbandingan Metode Jaringan Syaraf Tiruan Backpropagation Dan Learning Vector Quantization Pada Pengenalan Wajah,Penerapan Pengenalan Pola,1.3517148251186121e-58
 Penerapan data mining untuk memprediksi kriteria nasabah kredit,Penerapan Data Besar,4.477918079444828e-42
 Penerapan Data Mining Untuk Klasifikasi Prediksi Penyakit ISPA Infeksi Saluran Pernapasan Akut Dengan Algoritma Decision Tree ID3,Penerapan Penambangan Data,2.8934782119457776e-64
 Penerapan Data Mining Untuk Analisis Pola Pembelian Konsumen Dengan Algoritma Fp-Growth Pada Data Transaksi Penjualan Spare Part Motor,Penerapan Data Besar,2.0797021493163518e-35
Penerapan metode K-means untuk clustering mahasiswa berdasarkan nilai akademik dengan Weka Interface studi kasus pada jurusan Teknik Informatika UMM …,Penerapan Data Besar,6.374758605763287e-76
