No Dosen,Nama Dosen,No Grup Riset 1,Kecenderungan Grup Riset 1,Jumlah Grup Riset 1,Persentase Grup Riset 1,No Grup Riset 2,Kecenderungan Grup Riset 2,Jumlah Grup Riset 2,Persentase Grup Riset 2,Deleted
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",3,Computer Vision,23,45,1,Sistem Cerdas,9,17,0
63,"Rudy Ariyanto, ST., M.Cs.",4,Information System,34,68,1,Sistem Cerdas,9,18,0
64,"Septian Enggar Sukmana, S.Pd., M.T",3,Computer Vision,8,44,5,Multimedia dan Game,5,27,0
65,"Sofyan Noor Arief, S.ST., M.Kom.",4,Information System,1,100,4,Information System,1,100,0
66,"Ulla Delfana Rosiani, ST., MT.",3,Computer Vision,15,48,1,Sistem Cerdas,8,25,0
67,"Usman Nurhasan, S.Kom., MT.",4,Information System,11,35,5,Multimedia dan Game,10,32,0
69,"Vipkas Al Hadid Firdaus, ST,. MT",3,Computer Vision,1,100,3,Computer Vision,1,100,0
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",1,Sistem Cerdas,7,43,4,Information System,6,37,0
71,"Vivin Ayu Lestari, S.Pd",1,Sistem Cerdas,4,36,5,Multimedia dan Game,2,18,0
72,Wilda Imama Sabilla,4,Information System,2,50,1,Sistem Cerdas,1,25,0
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",1,Sistem Cerdas,10,43,3,Computer Vision,2,8,0
74,"Yuri Ariyanto, S.Kom., M.Kom.",4,Information System,26,44,2,Computer Network,17,28,0
75,"Yushintia Pramitarini, S.ST., MT.",4,Information System,8,53,1,Sistem Cerdas,5,33,0
