3,"Ahmadi Yuli Ananta, ST., M.M.",24,Implementasi Game Kuis Tebak Tangga Nada Jawa Dengan Metode Fisher-Yates Shuffle dan Fuzzy Tsukamoto Berbasis Android,Sistem Cerdas,Penerapan Kecerdasan Buatan,1.0446573053431769e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",25,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,Sistem Cerdas,Penerapan Penambangan Teks,2.4771201273564252e-95,0
3,"Ahmadi Yuli Ananta, ST., M.M.",26,Sistem Informasi Peramalan Jumlah Produksi Ikan pada Dinas Perikanan Kab Malang Menggunakan Metode SARIMA,Information System,Penerapan Sistem Peramalan,5.0975288726695894e-51,0
3,"Ahmadi Yuli Ananta, ST., M.M.",27,DESAIN SISTEM SMART ATTENDANCE MENGGUNAKAN KOMBINASI SMART CARD DAN SIDIK JARI,Sistem Cerdas,Penerapan Smart Living,5.0431119282076016e-39,0
3,"Ahmadi Yuli Ananta, ST., M.M.",28,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,Information System,Penerapan Sistem Pendukung Keputusan,9.076857463535658e-55,0
3,"Ahmadi Yuli Ananta, ST., M.M.",29,SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI PEMBELIAN MOBIL KELUARGA DENGAN METODE TOPSIS DAN MOORA,Information System,Penerapan Sistem Pendukung Keputusan,6.13777935491975e-50,0
3,"Ahmadi Yuli Ananta, ST., M.M.",30,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,Information System,Penerapan Sistem Pendukung Keputusan,1.326616992922549e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",31,PENGEMBANGAN SISTEM INFORMASI PEMESANAN JASA TOUR & TRAVEL DI CV CAHAYA TRAVEL BERBASIS WEBSITE,Information System,Penerapan Customer Relationship Management,8.0093018475214365e-56,0
3,"Ahmadi Yuli Ananta, ST., M.M.",32,SISTEM INFORMASI PENGELOLAAN DATA KUNJUNGAN BEROBAT POLIKLINIK BERBASIS WEB DI POLITEKNIK NEGERI MALANG,Information System,Penerapan Sistem Informasi Geografis,4.544813399818117e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",33,SISTEM PERAMALAN DAN PEMANTAUAN JUMLAH PRODUKSI IKAN BERBASIS WEB DENGAN METODE Seasonal Autoregressive Integrated Moving Average SARIMASTUDI KASUS DINAS PERIKANAN KAB MALANG,Information System,Penerapan Sistem Peramalan,4.652555120967879e-94,0
3,"Ahmadi Yuli Ananta, ST., M.M.",34,SISTEM INFORMASI PERAMALAN PENJUALAN BARANG DENGAN METODE DOUBLE EXPONENTIAL SMOOTHING STUDI KASUS ISTANA SAYUR,Information System,Penerapan Sistem Peramalan,1.5933206834554786e-55,0
3,"Ahmadi Yuli Ananta, ST., M.M.",35,SISTEM PENGGAJIAN ONLINE DOSEN KONTRAK/LUAR BIASA BERBASIS WEBSITE STUDI KASUS POLITEKNIK NEGERI MALANG,Information System,Penerapan Pembelajaran Elektronik pada Sistem Informasi,1.545845134824358e-56,0
3,"Ahmadi Yuli Ananta, ST., M.M.",36,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,Sistem Cerdas,Penerapan Sistem Pakar,1.7944746308253976e-39,0
3,"Ahmadi Yuli Ananta, ST., M.M.",37,Implementasi Metode VIKOR pada Sistem Pendukung Keputusan Penerima Beasiswa PPA Studi Kasus Politeknik Negeri Malang,Information System,Penerapan Sistem Pendukung Keputusan,1.4825243617110154e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",38,IMPLEMENTASI ANALISA KERANJANG BELANJA GUNA MENENTUKAN PAKET PRODUK DENGAN ALGORITMA FP-GROWTH,Sistem Cerdas,Penerapan Data Besar,9.958173224773989e-34,0
